date,storenumber,total_lettuce_trans_rep
2015-03-05,12631,5
2015-03-05,12631,5
2015-03-06,12631,5
2015-03-07,12631,5
2015-03-08,12631,5
2015-03-08,46673,5
2015-03-09,12631,5
2015-03-09,12631,5
2015-03-09,12631,10
2015-03-09,12631,5
2015-03-10,12631,15
2015-03-10,46673,5
2015-03-11,12631,5
2015-03-11,12631,5
2015-03-11,12631,5
2015-03-13,12631,10
2015-03-13,20974,5
2015-03-14,12631,5
2015-03-15,4904,5
2015-03-15,12631,5
2015-03-15,12631,5
2015-03-16,12631,5
2015-03-16,46673,5
2015-03-17,12631,20
2015-03-18,12631,5
2015-03-18,12631,5
2015-03-18,12631,5
2015-03-18,12631,5
2015-03-18,46673,5
2015-03-19,12631,5
2015-03-19,12631,5
2015-03-19,12631,5
2015-03-19,46673,5
2015-03-20,4904,5
2015-03-20,4904,5
2015-03-21,12631,5
2015-03-21,12631,5
2015-03-22,12631,5
2015-03-22,46673,5
2015-03-22,46673,5
2015-03-23,12631,10
2015-03-23,46673,5
2015-03-24,12631,5
2015-03-24,46673,10
2015-03-25,12631,5
2015-03-25,20974,5
2015-03-25,20974,5
2015-03-26,4904,5
2015-03-26,20974,5
2015-03-26,20974,5
2015-03-27,12631,5
2015-03-27,12631,5
2015-03-28,4904,5
2015-03-28,12631,5
2015-03-28,12631,5
2015-03-28,12631,5
2015-03-29,46673,5
2015-03-30,12631,5
2015-03-30,12631,5
2015-03-30,46673,5
2015-03-30,46673,5
2015-03-30,46673,5
2015-03-31,12631,5
2015-03-31,12631,5
2015-03-31,12631,5
2015-03-31,12631,5
2015-03-31,12631,5
2015-04-01,46673,5
2015-04-02,12631,5
2015-04-02,12631,5
2015-04-02,20974,5
2015-04-02,20974,5
2015-04-03,12631,5
2015-04-03,12631,5
2015-04-04,4904,5
2015-04-04,46673,5
2015-04-05,12631,5
2015-04-05,12631,5
2015-04-05,20974,5
2015-04-06,12631,5
2015-04-06,12631,5
2015-04-06,20974,5
2015-04-06,46673,5
2015-04-07,12631,5
2015-04-07,12631,5
2015-04-07,12631,5
2015-04-07,20974,5
2015-04-08,4904,5
2015-04-08,12631,5
2015-04-08,46673,5
2015-04-09,12631,5
2015-04-09,20974,5
2015-04-09,20974,5
2015-04-09,46673,5
2015-04-10,12631,10
2015-04-10,12631,10
2015-04-10,12631,5
2015-04-10,12631,5
2015-04-10,20974,5
2015-04-11,12631,5
2015-04-11,12631,5
2015-04-11,20974,5
2015-04-11,46673,5
2015-04-11,46673,5
2015-04-12,12631,5
2015-04-12,12631,5
2015-04-12,46673,5
2015-04-12,46673,5
2015-04-13,12631,5
2015-04-13,12631,5
2015-04-13,12631,5
2015-04-13,12631,5
2015-04-14,12631,5
2015-04-15,12631,5
2015-04-15,12631,5
2015-04-15,20974,5
2015-04-16,12631,5
2015-04-16,12631,10
2015-04-17,4904,5
2015-04-17,4904,5
2015-04-17,12631,5
2015-04-17,12631,10
2015-04-17,12631,5
2015-04-17,12631,5
2015-04-17,12631,5
2015-04-17,20974,10
2015-04-18,12631,5
2015-04-18,20974,5
2015-04-19,12631,5
2015-04-19,12631,5
2015-04-19,12631,5
2015-04-19,12631,5
2015-04-19,12631,5
2015-04-19,20974,5
2015-04-19,46673,5
2015-04-19,46673,5
2015-04-20,12631,5
2015-04-21,12631,5
2015-04-21,12631,5
2015-04-21,12631,5
2015-04-21,46673,5
2015-04-22,12631,5
2015-04-22,12631,5
2015-04-22,12631,10
2015-04-22,12631,5
2015-04-22,46673,5
2015-04-22,46673,5
2015-04-23,12631,5
2015-04-23,20974,5
2015-04-23,20974,5
2015-04-23,46673,5
2015-04-23,46673,5
2015-04-23,46673,5
2015-04-24,4904,5
2015-04-24,12631,5
2015-04-25,12631,5
2015-04-25,12631,5
2015-04-25,12631,5
2015-04-25,20974,5
2015-04-26,46673,5
2015-04-27,12631,5
2015-04-27,12631,5
2015-04-27,12631,10
2015-04-27,20974,5
2015-04-27,46673,5
2015-04-28,12631,5
2015-04-28,12631,5
2015-04-28,12631,5
2015-04-28,12631,5
2015-04-28,20974,5
2015-04-28,46673,5
2015-04-29,12631,5
2015-04-29,20974,5
2015-04-29,46673,5
2015-04-30,12631,5
2015-04-30,12631,5
2015-04-30,20974,5
2015-04-30,46673,5
2015-05-01,12631,5
2015-05-01,12631,5
2015-05-01,46673,5
2015-05-02,4904,5
2015-05-02,4904,5
2015-05-02,12631,5
2015-05-02,12631,5
2015-05-02,12631,5
2015-05-03,12631,5
2015-05-03,12631,5
2015-05-03,12631,5
2015-05-03,20974,5
2015-05-03,46673,5
2015-05-04,12631,5
2015-05-04,12631,5
2015-05-04,20974,5
2015-05-04,20974,5
2015-05-04,46673,5
2015-05-05,12631,5
2015-05-05,12631,5
2015-05-05,12631,10
2015-05-05,12631,5
2015-05-05,12631,10
2015-05-05,12631,5
2015-05-05,12631,5
2015-05-05,20974,10
2015-05-05,46673,5
2015-05-06,12631,5
2015-05-06,12631,5
2015-05-06,12631,5
2015-05-06,12631,5
2015-05-06,46673,5
2015-05-07,12631,5
2015-05-07,12631,5
2015-05-07,12631,5
2015-05-07,12631,5
2015-05-07,12631,5
2015-05-07,20974,5
2015-05-07,46673,5
2015-05-08,12631,5
2015-05-09,4904,5
2015-05-09,12631,5
2015-05-10,12631,5
2015-05-10,12631,5
2015-05-10,46673,5
2015-05-11,12631,10
2015-05-11,12631,5
2015-05-11,12631,5
2015-05-11,20974,5
2015-05-12,12631,5
2015-05-12,46673,5
2015-05-13,12631,5
2015-05-13,12631,5
2015-05-13,12631,5
2015-05-13,12631,5
2015-05-13,12631,5
2015-05-14,4904,5
2015-05-14,12631,5
2015-05-14,12631,5
2015-05-14,12631,5
2015-05-14,12631,5
2015-05-14,20974,5
2015-05-14,20974,5
2015-05-14,46673,5
2015-05-15,12631,5
2015-05-15,12631,5
2015-05-15,12631,5
2015-05-16,12631,5
2015-05-16,12631,5
2015-05-16,12631,5
2015-05-17,12631,5
2015-05-17,12631,5
2015-05-17,12631,5
2015-05-17,12631,5
2015-05-17,46673,5
2015-05-18,12631,5
2015-05-18,12631,5
2015-05-18,12631,5
2015-05-18,12631,5
2015-05-19,12631,5
2015-05-19,12631,5
2015-05-19,46673,5
2015-05-20,12631,5
2015-05-20,46673,5
2015-05-20,46673,5
2015-05-21,12631,5
2015-05-21,12631,5
2015-05-21,12631,5
2015-05-21,12631,5
2015-05-21,20974,5
2015-05-22,12631,5
2015-05-22,12631,5
2015-05-22,12631,5
2015-05-23,12631,5
2015-05-23,12631,5
2015-05-23,46673,5
2015-05-24,12631,5
2015-05-24,12631,5
2015-05-24,46673,5
2015-05-25,12631,5
2015-05-25,20974,5
2015-05-25,46673,5
2015-05-26,12631,5
2015-05-26,46673,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,5
2015-05-27,12631,10
2015-05-27,20974,5
2015-05-27,46673,5
2015-05-27,46673,5
2015-05-28,12631,5
2015-05-28,20974,5
2015-05-28,20974,5
2015-05-28,46673,5
2015-05-28,46673,5
2015-05-28,46673,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-29,12631,5
2015-05-30,12631,5
2015-05-31,12631,10
2015-05-31,12631,5
2015-05-31,12631,5
2015-05-31,46673,5
2015-06-01,12631,5
2015-06-01,12631,5
2015-06-01,12631,5
2015-06-01,12631,5
2015-06-01,46673,5
2015-06-01,46673,5
2015-06-02,12631,5
2015-06-02,12631,5
2015-06-03,12631,5
2015-06-03,12631,5
2015-06-03,12631,5
2015-06-03,20974,5
2015-06-03,46673,5
2015-06-04,12631,5
2015-06-04,12631,5
2015-06-04,12631,5
2015-06-04,20974,5
2015-06-04,46673,5
2015-06-05,4904,5
2015-06-05,12631,5
2015-06-05,12631,5
2015-06-05,20974,5
2015-06-06,12631,5
2015-06-06,20974,5
2015-06-07,12631,5
2015-06-07,12631,5
2015-06-07,46673,5
2015-06-07,46673,5
2015-06-08,12631,10
2015-06-08,20974,5
2015-06-08,20974,5
2015-06-08,46673,5
2015-06-08,46673,10
2015-06-09,12631,5
2015-06-09,12631,5
2015-06-09,12631,5
2015-06-09,12631,5
2015-06-09,46673,5
2015-06-10,12631,5
2015-06-11,12631,5
2015-06-11,12631,5
2015-06-11,12631,5
2015-06-11,12631,5
2015-06-11,46673,5
2015-06-12,4904,5
2015-06-12,12631,5
2015-06-12,12631,5
2015-06-12,12631,5
2015-06-12,12631,5
2015-06-12,46673,5
2015-06-12,46673,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-14,12631,5
2015-06-14,12631,5
2015-06-14,20974,5
