date,storenumber,total_lettuce
2015-03-05,12631,232
2015-03-05,46673,152
2015-03-06,46673,100
2015-03-06,12631,227
2015-03-06,20974,4
2015-03-07,12631,181
2015-03-07,46673,54
2015-03-08,12631,221
2015-03-08,46673,199
2015-03-09,12631,229
2015-03-09,46673,166
2015-03-10,46673,143
2015-03-10,20974,0
2015-03-10,12631,237
2015-03-11,12631,235
2015-03-11,46673,162
2015-03-12,46673,116
2015-03-12,12631,244
2015-03-13,12631,218
2015-03-13,4904,176
2015-03-13,20974,29
2015-03-13,46673,136
2015-03-14,46673,68
2015-03-14,4904,182
2015-03-14,12631,205
2015-03-15,4904,347
2015-03-15,46673,176
2015-03-15,12631,248
2015-03-16,46673,181
2015-03-16,4904,400
2015-03-16,12631,153
2015-03-16,20974,6
2015-03-17,4904,406
2015-03-17,12631,222
2015-03-17,46673,120
2015-03-17,20974,8
2015-03-18,46673,141
2015-03-18,4904,382
2015-03-18,20974,4
2015-03-18,12631,262
2015-03-19,46673,205
2015-03-19,4904,324
2015-03-19,12631,259
2015-03-20,20974,164
2015-03-20,4904,192
2015-03-20,46673,118
2015-03-20,12631,274
2015-03-21,20974,112
2015-03-21,12631,250
2015-03-21,4904,274
2015-03-21,46673,62
2015-03-22,12631,209
2015-03-22,4904,370
2015-03-22,20974,168
2015-03-22,46673,152
2015-03-23,20974,222
2015-03-23,46673,135
2015-03-23,12631,202
2015-03-23,4904,332
2015-03-24,46673,180
2015-03-24,12631,207
2015-03-24,4904,390
2015-03-24,20974,222
2015-03-25,20974,194
2015-03-25,4904,384
2015-03-25,46673,172
2015-03-25,12631,251
2015-03-26,46673,180
2015-03-26,12631,256
2015-03-26,20974,172
2015-03-26,4904,377
2015-03-27,46673,82
2015-03-27,4904,232
2015-03-27,12631,246
2015-03-27,20974,158
2015-03-28,12631,251
2015-03-28,20974,142
2015-03-28,46673,96
2015-03-28,4904,219
2015-03-29,20974,238
2015-03-29,12631,214
2015-03-29,4904,376
2015-03-29,46673,193
2015-03-30,20974,282
2015-03-30,46673,209
2015-03-30,12631,218
2015-03-30,4904,360
2015-03-31,46673,146
2015-03-31,20974,276
2015-03-31,12631,245
2015-03-31,4904,422
2015-04-01,46673,189
2015-04-01,12631,268
2015-04-01,20974,250
2015-04-01,4904,448
2015-04-02,46673,170
2015-04-02,12631,236
2015-04-02,20974,184
2015-04-02,4904,332
2015-04-03,20974,212
2015-04-03,46673,94
2015-04-03,12631,352
2015-04-03,4904,312
2015-04-04,12631,190
2015-04-04,20974,16
2015-04-04,4904,235
2015-04-04,46673,67
2015-04-05,12631,280
2015-04-05,46673,182
2015-04-05,20974,235
2015-04-05,4904,402
2015-04-06,4904,406
2015-04-06,46673,201
2015-04-06,20974,181
2015-04-06,12631,232
2015-04-07,12631,243
2015-04-07,46673,186
2015-04-07,4904,436
2015-04-07,20974,201
2015-04-08,4904,449
2015-04-08,46673,223
2015-04-08,12631,217
2015-04-08,20974,232
2015-04-09,4904,378
2015-04-09,20974,258
2015-04-09,46673,187
2015-04-09,12631,309
2015-04-10,46673,96
2015-04-10,20974,237
2015-04-10,12631,354
2015-04-10,4904,270
2015-04-11,20974,241
2015-04-11,46673,70
2015-04-11,4904,298
2015-04-11,12631,212
2015-04-12,4904,354
2015-04-12,12631,264
2015-04-12,46673,156
2015-04-12,20974,268
2015-04-13,4904,426
2015-04-13,46673,220
2015-04-13,12631,252
2015-04-13,20974,236
2015-04-14,4904,400
2015-04-14,12631,251
2015-04-14,20974,232
2015-04-14,46673,214
2015-04-15,20974,335
2015-04-15,4904,400
2015-04-15,46673,160
2015-04-15,12631,306
2015-04-16,4904,370
2015-04-16,12631,291
2015-04-16,46673,180
2015-04-16,20974,238
2015-04-17,12631,328
2015-04-17,4904,320
2015-04-17,20974,278
2015-04-17,46673,114
2015-04-18,12631,221
2015-04-18,46673,76
2015-04-18,20974,259
2015-04-18,4904,210
2015-04-19,12631,199
2015-04-19,4904,342
2015-04-19,46673,194
2015-04-19,20974,211
2015-04-20,12631,249
2015-04-20,4904,384
2015-04-20,20974,260
2015-04-20,46673,176
2015-04-21,4904,410
2015-04-21,46673,141
2015-04-21,20974,248
2015-04-21,12631,241
2015-04-22,12631,265
2015-04-22,4904,410
2015-04-22,20974,220
2015-04-22,46673,194
2015-04-23,46673,153
2015-04-23,12631,279
2015-04-23,20974,296
2015-04-23,4904,380
2015-04-24,46673,102
2015-04-24,20974,286
2015-04-24,4904,253
2015-04-24,12631,313
2015-04-25,12631,233
2015-04-25,20974,173
2015-04-25,4904,254
2015-04-25,46673,128
2015-04-26,12631,324
2015-04-26,4904,426
2015-04-26,20974,234
2015-04-26,46673,193
2015-04-27,4904,428
2015-04-27,12631,354
2015-04-27,20974,283
2015-04-27,46673,185
2015-04-28,4904,378
2015-04-28,12631,324
2015-04-28,20974,283
2015-04-28,46673,173
2015-04-29,12631,307
2015-04-29,20974,293
2015-04-29,4904,412
2015-04-29,46673,169
2015-04-30,4904,364
2015-04-30,46673,171
2015-04-30,20974,227
2015-04-30,12631,316
2015-05-01,46673,95
2015-05-01,20974,198
2015-05-01,12631,324
2015-05-01,4904,262
2015-05-02,20974,158
2015-05-02,12631,203
2015-05-02,46673,80
2015-05-02,4904,196
2015-05-03,20974,313
2015-05-03,46673,137
2015-05-03,4904,376
2015-05-03,12631,369
2015-05-04,20974,232
2015-05-04,12631,246
2015-05-04,4904,402
2015-05-04,46673,147
2015-05-05,4904,360
2015-05-05,12631,267
2015-05-05,46673,163
2015-05-05,20974,250
2015-05-06,12631,256
2015-05-06,46673,183
2015-05-06,4904,362
2015-05-06,20974,252
2015-05-07,12631,313
2015-05-07,4904,322
2015-05-07,46673,165
2015-05-07,20974,277
2015-05-08,20974,192
2015-05-08,12631,277
2015-05-08,46673,78
2015-05-08,4904,218
2015-05-09,4904,231
2015-05-09,46673,88
2015-05-09,20974,118
2015-05-09,12631,257
2015-05-10,20974,264
2015-05-10,46673,169
2015-05-10,12631,264
2015-05-10,4904,434
2015-05-11,4904,356
2015-05-11,20974,247
2015-05-11,46673,172
2015-05-11,12631,238
2015-05-12,46673,169
2015-05-12,12631,259
2015-05-12,20974,198
2015-05-12,4904,426
2015-05-13,20974,230
2015-05-13,46673,190
2015-05-13,4904,360
2015-05-13,12631,361
2015-05-14,4904,341
2015-05-14,20974,258
2015-05-14,46673,123
2015-05-14,12631,316
2015-05-15,46673,76
2015-05-15,20974,186
2015-05-15,4904,226
2015-05-15,12631,263
2015-05-16,12631,233
2015-05-16,20974,194
2015-05-16,46673,50
2015-05-16,4904,332
2015-05-17,20974,204
2015-05-17,12631,256
2015-05-17,46673,147
2015-05-17,4904,300
2015-05-18,46673,126
2015-05-18,4904,320
2015-05-18,12631,220
2015-05-18,20974,222
2015-05-19,4904,322
2015-05-19,12631,258
2015-05-19,46673,159
2015-05-19,20974,218
2015-05-20,46673,172
2015-05-20,12631,237
2015-05-20,20974,242
2015-05-20,4904,290
2015-05-21,4904,298
2015-05-21,20974,203
2015-05-21,12631,350
2015-05-21,46673,162
2015-05-22,46673,92
2015-05-22,20974,154
2015-05-22,12631,271
2015-05-22,4904,162
2015-05-23,4904,264
2015-05-23,20974,112
2015-05-23,46673,79
2015-05-23,12631,194
2015-05-24,12631,244
2015-05-24,4904,168
2015-05-24,20974,130
2015-05-24,46673,99
2015-05-25,20974,243
2015-05-25,46673,125
2015-05-25,12631,289
2015-05-25,4904,284
2015-05-26,46673,171
2015-05-26,4904,334
2015-05-26,20974,264
2015-05-26,12631,253
2015-05-27,46673,182
2015-05-27,20974,263
2015-05-27,4904,370
2015-05-27,12631,318
2015-05-28,20974,222
2015-05-28,46673,185
2015-05-28,4904,270
2015-05-28,12631,371
2015-05-29,46673,98
2015-05-29,20974,206
2015-05-29,4904,258
2015-05-29,12631,351
2015-05-30,4904,206
2015-05-30,12631,279
2015-05-30,46673,50
2015-05-30,20974,128
2015-05-31,4904,436
2015-05-31,46673,151
2015-05-31,20974,172
2015-05-31,12631,236
2015-06-01,20974,198
2015-06-01,46673,188
2015-06-01,4904,362
2015-06-01,12631,204
2015-06-02,4904,374
2015-06-02,20974,228
2015-06-02,12631,252
2015-06-02,46673,148
2015-06-03,20974,249
2015-06-03,4904,318
2015-06-03,12631,241
2015-06-03,46673,165
2015-06-04,20974,219
2015-06-04,4904,330
2015-06-04,46673,167
2015-06-04,12631,279
2015-06-05,12631,232
2015-06-05,20974,185
2015-06-05,4904,251
2015-06-05,46673,96
2015-06-06,4904,230
2015-06-06,46673,86
2015-06-06,12631,245
2015-06-06,20974,161
2015-06-07,20974,200
2015-06-07,46673,244
2015-06-07,4904,416
2015-06-07,12631,282
2015-06-08,12631,230
2015-06-08,46673,173
2015-06-08,20974,224
2015-06-08,4904,318
2015-06-09,46673,127
2015-06-09,12631,294
2015-06-09,20974,210
2015-06-09,4904,352
2015-06-10,46673,124
2015-06-10,20974,256
2015-06-10,12631,235
2015-06-10,4904,298
2015-06-11,20974,386
2015-06-11,46673,151
2015-06-11,12631,376
2015-06-11,4904,256
2015-06-12,4904,223
2015-06-12,12631,366
2015-06-12,20974,170
2015-06-12,46673,134
2015-06-13,12631,229
2015-06-13,46673,96
2015-06-13,4904,216
2015-06-13,20974,206
2015-06-14,46673,138
2015-06-14,12631,234
2015-06-14,4904,350
2015-06-14,20974,167
2015-06-15,46673,244
2015-06-15,20974,266
2015-06-15,4904,338
2015-06-15,12631,232
